אלמכ'תאר פי אלאמאנאת	(المختار في) الأمانات
אלזנדקה . פנקול אן הד'א	الزندقة . فنقول إنَّ هذا
אנמא הו ענד עואמהם כמא	إنَّما هو عند عوامهم كما
תרי עואם הד'א אלבלד יט'נון	ترى عوام هذا البلد يظنّون
אן כל כן צאר אלי בלד	أنَّ كلّ مَن صار إلى بلد
אלהנד אסתגני וכמא קיל	الهند استغنى وكما قيل
ען בעץ' עואם אמתנא אנהם	عن بعض عوام أُمّتنا إنَّهم
יט'נון אן שיא ישבה אלתנין	يظنُّون أنَّ شيئًا يشبه التنين
יבתלע אלקמר פינכ'סף וען	يبلع القمر فينخسف وعن
בעץ' עואם אלערב אנהם	بعض عوام العرب أنَّهم
כאנוא יט'נון אנה מן לם	كانوا يظنّون أنَّه مَن لم
תנחר נאקה עלי קברה חשר	تُنحر ناقته على قبره حُشر
והו ראג'ל ומת'ל הד'א	وهو راجل ومثل هذا
כת'יר ממא יצ'חך מנה .	كثير ممّا يُضحك منه .
פאן קאל פאן אלכ'ואץ מן	فإنْ قالَ فإنَّ الخواص من
עלמא בני אסראיל קד נהוא	علماء بني إسرائيل قد نهوا
ען ד'לך וכ'אצה אלנט'ר	عن ذلك وخاصّة النَّظر
פי אואיל אלזמאן ואואיל	في أوائل الزَّمان وأوائل
אלמכאן אד' קאלוא : H	المكان إذ قالوا : H
H H H H H H H H H H H	H H H H H H H H H H H
؟ H H ؟ H H ؟ H H ؟ קלנא	؟ H H ؟ H H ؟ H H ؟ قلنا
ואסתענא באלרחמאן אן אלנט'ר	واستعنَّا بالرَّحمان إنَّ النَّظر
אלצחיח לא יג'וז אן ימנעונא	الصَّريح لا يجوز أنْ يمنعونا
מנה וכ'אלקנא קד אמרנא	منه وخالقنا قد أمرنا
בה מע אלכ'בר אלצאדק כקולה	به مع الخبر الصَّادق كقوله
: H H H H H H H H H H	: H H H H H H H H H H
H H וקאל אלאוליא בעצ'הם	H H وقال الأولياء بعضهم
לבעץ' H H H ، H H H H	لبعض H H H ، H H H H
וכמא ללכ'מסה נפר פי הד'א	وكما للخمسة نفر في هذا
אעני H H H H H אקואל	أعني H H H H H أقوال
ואסעה . ואנמא מנעוא מן	واسعة . وإنَّما مَنعوا من
עזל כתב אלאנביא נאחיה	عزل كتب الأنبياء ناحية
ואלאכ'ד' במא יקע לכל	والأَخذ بما يقع لكلّ
ואחד מן ראי נפסה פי אכ'טארה	واحد مِن رأى نفسه في إخطاره
בבאלה אואיל אלמכאן ואלזמאן	بباله أوائل المكان والزَّمان
. פמן ינט'ר עלי הד'ה	. فمَن ينظر على هذه
אלג'הה קד יציב וקד יכ'טי	الجهة قد يصيب وقد يُخطئ
. ואלי אן יציב פהו עלי	. وإلى أنْ يصيب فهو على
גיר דין ואן אצאב אלדין	غير دين وإنْ أصابَ الدِّين
ות'בת עליה לם יומן אנתקאלה	وثبت عليه لم يؤمن انتقاله
ענה בשבהה תנתצב לה פתפסד	عنه بشبهة تنتصب له فتُفسد
עליה אעתקאדה ונחן פמג'מעון	عليه اعتقاده ونحن فمجمعون
עלי תכ'טיהֿ פאעל הד'א	على تخطئة فاعل هذا
ואן כאן נט'ארא ואנמא	وإنْ كان نظَّارًا وإنَّما
נפחץ נחן מעאשר בני אסראיל	نفحص نحن معاشر بني إسرائيل
וננט'ר עלי טריק גיר הד'א	وننظر على طريق غير هذا
והו מא אד'כרה ואוצ'חה	وهو ما أذكره وأوضِّحُهُ
בעון אלרחמן . אעלם ארשדך	بعون الرحمن . اعلم أرشدكَ
אללה יא איהא אלנאט'ר	الله يا أيَّها النَّاظر
פי הד'א אלכתאב , אנא	في هذا الكتاب , أنَّا
אנמא נבחת' וננט'ר פי	إنَّما نبحث وننظر في
אמור דיננא למעניין אחדהמא	أمور ديننا لمعنيين أحدهما
ליצח ענדנא באלפעל מא	ليصحّ عندنا بالفعل ما
עלמנא מן אנביא אללה באלעלם	علمنا من أنبياء الله بالعِلم
. ואלת'אני לנרד עלי מן	. والثاني لنردّ على مَن
יטען עלינא פי שי מן אמור	يطعن علينا في شيء من أمور
דיננא . וד'לך אן רבנא	ديننا . وذلك أنَّ ربّنا
תבארך ותעאלי לקננא כל	تبارك وتعالى لقننا كلّ
מא יחתאג אליה מן אמור	ما يُحتاج إليه من أمور
דיננא בתוסט אנביאה בעד	ديننا بتوسُّط أنبياءه بعد
מא צחח להם אלנבוה ענדנא	ما صحّح لهم النبوَّة عندنا
באלאיאת ואלבראהין פאמרנא	بالآيات والبراهين فأمرنا
באן נעתקד תלך אלמעאני	بأنْ نعتقد تلك المعاني
ונחפט'הא וערפנא אנא אד'א	ونحفظها وعرَّفنا أنَّا إذا
נט'רנא ופחצנא , אכ'רג'	نظرنا وفحصنا , أخرجَ
לנא אלנט'ר אלצחיח אלמסתופי	لنا النَّظر الصحيح المستوفى
פי כל באב מת'ל מא נבאנא	في كلّ باب مثل ما نَبِّأنا
בה פי קול רסלה ואעטאנא	به في قول رسوله وأعطانا
אמאנא אנה לא ימכן אן	أمانًا أنَّه لا يمكن أن
תכון עלינא חג'ה ללמלחדין	تكون علينا حجَّة للملحدين
פי דיננא , ולא טען ללמנאשבין	في ديننا , ولا طعن للمناشبين
פי אמאנתנא ד'לך קולה	في أمانتنا ذلك قوله
פי מא אכ'ברנא בה מן אן	في ما أَخبرنا به من أنَّ
אלאשיא כלהא מבתדאה והו	الأشياء كلّها مبتدأه وهو
אלכ'אלק אבתדאהא והו ואחד	الخالق ابتدأها وهو واحد
לא שריך לה H H H H H	لا شريك له H H H H H
H H H : H H H H H H H	H H H : H H H H H H H
. וקאל בעדה פי מא אמרנא	. وقال بعده في ما أمرنا
בה ונהאנא מנה ואכ'ברנא	به ونهانا منه وأخبرنا
בה אנה כאן ואנה יכון	به إنَّه كان وإنَّه يكون
H H H H H H H H H H H	H H H H H H H H H H H
H H H . וסכן רוענא מן	H H H . وسكنَ روعنا من
מכ'אלפינא באנה לא ימכן	مخالفينا بأنَّه لا يمكن
אן יטלוא עלינא בחג'ה	أنْ يطلّوا علينا بحجَّة
ולא יט'הרוא בלאזם כמא	ولا يظهروا بلازم كما
קאל בעדה : H H H H ،	قال بعده : H H H H ،
H H H H H H H H H H H	H H H H H H H H H H H
H H פקולה H H , יריד	H H فقوله H H , يريد
בה מן אחואל אלכ'צום פי	به من أحوال الخصوم في
כת'רתהם וקואהם ואכ'לאקהם	كثرتهم وقواهم وأَخلاقهم
כמא קאל הנאלך : H H H	كما قال هنالك : H H H
H H H H . וקולה : H H	H H H H . وقوله : H H
הו H H במא פי צנאעהֿ	هو H H بما في صناعة
אלאבדאל הא תקום מקאם	الإبدال هاء تقوم مقام
אלף ויריד בה מן אלכלאם	ألف ويريد به من الكلام
נפסה ואלחג'ג' פי ד'אתהא	نفسه والحجج في ذاتها
כמא קאל הנאך : H H H	كما قال هناك : H H H
H H H ، H H H וקאל איצ'א	H H H ، H H H وقالَ أيضًا
: H H H H וקולה H H H	: H H H H وقوله H H H
, יריד בה אלאכ'באר אלתי	, يريد به الأخبار التي
תאתי . וקולה H , יריד	تأتي . وقوله H , يريد
בה אלאכ'באר אלתי מצ'ת	به الأخبار التي مضت
כמא קאל הנאך : H H H	كما قال هناك : H H H
H H H H H H H H . וקולה	H H H H H H H H . وقوله
H H , ישיר בה מא שאהד	H H , يشير به ما شاهد
אלקום מן אלאיאת אלמעג'זה	القوم من الآيات المعجزات
ומן אלבראהין אלבאהרה	ومن البراهين الباهرة
והי עלי אנהא כת'ירה מן	وهي على أَنَّها كثيرة من
חלול אלעשר אפאת ושק אלבחר	حلول العشر آفات وشقّ البحر
ומוקף סיני פאני ארי אמר	وموقف سيناء فإنِّي أرى أمر
איהֿ אלמן אעג'ב אלאיאת	آية المن أَعجب الآيات
כלהא לאן אלשי אלדאים	كلَّها لأنَّ الشيء الدائم
אשד תעג'בא מן אלגיר אלדאים	أَشد تعجّبًا من الجور الدائم
לאנה לא תכ'טר עלי אלבאל	لأنَّه لا تخطر على البال
חילה פי אן יעאל קום מקדארהם	حيلة في أنْ يُعال قوم مقدارهم
שביה באלפי אלף אנסאן	شبيه بألفي ألف إنسان
ארבעין סנה לא מן שי אלא	أربعين سنة لا من شيء إلاَّ
מן טעאם מבתד יבתדאה אלכ'אלק	من طعام مبتدأ يبتدئه الخالق
להם פי אלהיא ולו כאן	لهم في الهواء ولو كان
האהנא וג'ה ללחילה אלי	هاهنا وجه للحيلة إلى
בעץ' הד'א לסבק אליהא	بعض هذا لسبق إليها
אלפלאספה אלמתקדמון פכאנוא	الفلاسفة المتقدِّمون فكانوا
בהא ימונון תלאמיד'הם	بها يموّنون تلاميذهم
ויעלמונהם אלחכמה ויגנוהם	ويُعلمونهم الحكمة ويغنوهم
ען אלתכסב וען אלאסתרפאד	عن التكسُّب وعن الاسترفاد
. ולא יג'וז אן יכון סלף	. ولا يجوز أنْ يكون سلف
בני אסראיל תואטוא עלי	بني إسرائيل تواطئوا على
הד'א אלמעני אן יכד'בוה	هذا المعنى أنْ يُكذِّبوه
פכפי בשרט כל כ'בר צאדק	فكفى بشرط كلّ خبر صادق
ומע ד'לך פכאנוא אד'א	ومع ذلك فكانوا إذا
קאלוא H אנא אקמנא פי	قالوا H إنّا أَقمنا في
אלקפר ארבעין סנה נאכל	القفر أَربعين سنة نأكل
אלמן ולם יכון לד'לך אצל	المن ولم يكون لذلك أصل
יקולון להם בנוהם הוד'א	يقولون لهم بنوهم هوذا
תכד'בון אנת יא פלאן אליס	تكذبون أنت يا فلان أَليس
הד'ה צ'יעתך ואנת יא פלאן	هذه ضيعتك وأنت يا فلان
אליס הד'ה רוצ'תך , אלתי	أَليس هذه روضتك , التي
מנהא לם תזלוא תתקותון	منها لم تزالوا تتقوّتون
הד'א ממא לם יכן אלבנון	هذا ممّا لم يكن البنون
יקבלונה מנהם בוג'ה ולא	يقبلونه منهم بوجه ولا
סבב . וקולה : H H H ،	سبب . وقوله : H H H ،
יריד בה אנה אנמא כנתם	يريد به أنَّه إنَّما كنتم
תתכ'ופון אן יכון בעץ'	تتخوّفون أنْ يكون بعض
מא אכ'ברת באנה כאן או	ما أَخبرتُ بأنَّه كان أو
בעץ' ، ، מא אכ'ברכם באנה	بعض ، ، ما أَخبرتكم بأَنَّه
יכון ליס כד'אך לו כאן	يكون ليس كذاك لو كان
כ'לק וקע מן גירי פלעלי	خلق وقع من غيري فلعلّي
כנת לא אקף עלי מא יצנעה	كنتُ لا أَقف على ما يصنعه
פאד' אנא ואחד פאנא מחיט	فإذ أّنا واحد فأنا محيط
בעלם ג'מיע מא צנעתה ומא	بعلْم جميع ما صنعته وما
אצנעה . וקולה H H H H	أصنعه . وقوله H H H H
ידכ'ל פיה אג'לא אלנאס	يدخل فيه أجلاء النَّاس
וחכמאוהם אד' תקע לפט'הֿ	وحكماؤهم إذ تقع لفظة
עלי נאס אג'לא כקולה :	على ناس أَجلاّء كقوله :
H H H H ואיצ'א H H H	H H H H وأيضًا H H H
H . ויריד בד'לך אנה לא	H . ويريد بذلك أنَّه لا
חכים ולא ג'ליל אלא ואנא	حكيم ولا جليل إلاَّ وأنا
אערפה , פלא יג'וז אן	أَعرفُه , فلا يجوز أنْ
תכון ענדה חג'ה עליכם	تكون عنده حجَّة عليكم
פי דינכם ולא כסר למד'הבכם	في دينكم ولا كسر لمذهبكم
לאני קד אחטת באלכל עלמא	لأنِّي قد أَحطتُ بالكلِّ علمًا
וערפתכם איאה . פעלי הד'א	وعرَّفتَكُم إياه . فعلى هذا
אלסביל ירחמך אללה ננט'ר	السَّبيل يرحمك الله ننظر
ונפחץ לנכ'רג' אלי פעל	ونفحص لنُخرج إلى فعل
מא ערפנאה רבנא באלעלם	ما عرَّفناه ربَّنا بالعِلم
. ובאלצ'רורה יתצל בהד'א	. وبالضرورة يتَّصل بهذا
אלקול באב לא בד מנה והו	القول باب لا بدَّ منه وهو
אן נסל פנקול אד' כאנת	أنْ نَسَلْ فنقول إذ كانت
אלאמור אלדיאניה תחצל	الأمور الديانيَّة تحصل
באלבחת' ואלנט'ר אלצחיח	بالبحث والنَّظر الصَّحيح
עלי מא אכ'ברנא רבנא פמא	على ما أَخبرنا ربّنا فما
וג'ה אלחכמה פי אן אתאנא	وجه الحِكمة في أنْ أَتانا
בהא מן ג'ההֿ אלרסאלה	بها من جهة الرِّسالة
ואקאם עליהא בראהין אלאיאת	وأَقامَ عليها براهين الآيات
אלמראיה לא אלבראהין אלעקליה	المرئيَّة لا البراهين العقلية
